consumer_id,asset_id,substation,feeder_line,consumer_name,category,mobile_number,address_area,peak_load_kw,sms_alert_status
CONS-TX-101-001,TX-101,Anand Substation #1,Feeder Line-1,Central Anand Clinic #1,Hospital / Critical,+91 98250 11000,Hospital Road,50.0,QUEUED
CONS-TX-101-002,TX-101,Anand Substation #1,Feeder Line-1,Residential Cluster #1 (240 Homes),Residential,+91 94260 22000,Anand Sector A,0.7,QUEUED
CONS-TX-101-003,TX-101,Anand Substation #1,Feeder Line-1,Substation Pump Station #1,Water Supply,+91 98240 33000,Water Works Road,30.0,QUEUED
CONS-TX-101-004,TX-101,Anand Substation #1,Feeder Line-1,Commercial Complex #1,Commercial,+91 97120 44000,Main Bazaar,22.0,QUEUED
CONS-TX-102-001,TX-102,Anand Substation #2,Feeder Line-2,Central Anand Clinic #2,Hospital / Critical,+91 98250 11000,Hospital Road,50.0,QUEUED
CONS-TX-102-002,TX-102,Anand Substation #2,Feeder Line-2,Residential Cluster #2 (240 Homes),Residential,+91 94260 22000,Anand Sector A,0.7,QUEUED
CONS-TX-102-003,TX-102,Anand Substation #2,Feeder Line-2,Substation Pump Station #2,Water Supply,+91 98240 33000,Water Works Road,30.0,QUEUED
CONS-TX-102-004,TX-102,Anand Substation #2,Feeder Line-2,Commercial Complex #2,Commercial,+91 97120 44000,Main Bazaar,22.0,QUEUED
CONS-TX-103-001,TX-103,Anand Substation #3,Feeder Line-3,Central Anand Clinic #3,Hospital / Critical,+91 98250 11000,Hospital Road,50.0,QUEUED
CONS-TX-103-002,TX-103,Anand Substation #3,Feeder Line-3,Residential Cluster #3 (240 Homes),Residential,+91 94260 22000,Anand Sector A,0.7,QUEUED
CONS-TX-103-003,TX-103,Anand Substation #3,Feeder Line-3,Substation Pump Station #3,Water Supply,+91 98240 33000,Water Works Road,30.0,QUEUED
CONS-TX-103-004,TX-103,Anand Substation #3,Feeder Line-3,Commercial Complex #3,Commercial,+91 97120 44000,Main Bazaar,22.0,QUEUED
CONS-TX-104-001,TX-104,Anand Substation #4,Feeder Line-4,Central Anand Clinic #4,Hospital / Critical,+91 98250 11000,Hospital Road,50.0,QUEUED
CONS-TX-104-002,TX-104,Anand Substation #4,Feeder Line-4,Residential Cluster #4 (240 Homes),Residential,+91 94260 22000,Anand Sector A,0.7,QUEUED
CONS-TX-104-003,TX-104,Anand Substation #4,Feeder Line-4,Substation Pump Station #4,Water Supply,+91 98240 33000,Water Works Road,30.0,QUEUED
CONS-TX-104-004,TX-104,Anand Substation #4,Feeder Line-4,Commercial Complex #4,Commercial,+91 97120 44000,Main Bazaar,22.0,QUEUED
CONS-TX-105-001,TX-105,Anand Substation #5,Feeder Line-5,Central Anand Clinic #5,Hospital / Critical,+91 98250 11000,Hospital Road,50.0,QUEUED
CONS-TX-105-002,TX-105,Anand Substation #5,Feeder Line-5,Residential Cluster #5 (240 Homes),Residential,+91 94260 22000,Anand Sector A,0.7,QUEUED
CONS-TX-105-003,TX-105,Anand Substation #5,Feeder Line-5,Substation Pump Station #5,Water Supply,+91 98240 33000,Water Works Road,30.0,QUEUED
CONS-TX-105-004,TX-105,Anand Substation #5,Feeder Line-5,Commercial Complex #5,Commercial,+91 97120 44000,Main Bazaar,22.0,QUEUED
CONS-TX-106-001,TX-106,Anand Substation #6,Feeder Line-6,Central Anand Clinic #6,Hospital / Critical,+91 98250 11000,Hospital Road,50.0,QUEUED
CONS-TX-106-002,TX-106,Anand Substation #6,Feeder Line-6,Residential Cluster #6 (240 Homes),Residential,+91 94260 22000,Anand Sector A,0.7,QUEUED
CONS-TX-106-003,TX-106,Anand Substation #6,Feeder Line-6,Substation Pump Station #6,Water Supply,+91 98240 33000,Water Works Road,30.0,QUEUED
CONS-TX-106-004,TX-106,Anand Substation #6,Feeder Line-6,Commercial Complex #6,Commercial,+91 97120 44000,Main Bazaar,22.0,QUEUED
CONS-TX-107-001,TX-107,GIDC Industrial Phase-2,Line-B Feeder,GIDC General Hospital & Emergency Unit,Hospital / Critical,+91 98250 14210,Phase-2 Main Gate,120.0,QUEUED
CONS-TX-107-002,TX-107,GIDC Industrial Phase-2,Line-B Feeder,Patel Precision Tooling Industries,Industrial,+91 98980 33412,"Shed #14, GIDC",85.0,QUEUED
CONS-TX-107-003,TX-107,GIDC Industrial Phase-2,Line-B Feeder,Sh. Vikrambhai Parmar (Residency),Residential,+91 94260 55109,"Flat 402, GIDC Towers",0.75,QUEUED
CONS-TX-107-004,TX-107,GIDC Industrial Phase-2,Line-B Feeder,Anand Water Supply Pumping Station #4,Water Supply,+91 98240 88901,Sector 3 Water Works,45.0,QUEUED
CONS-TX-107-005,TX-107,GIDC Industrial Phase-2,Line-B Feeder,Shreeji Cold Storage & Logistics,Commercial,+91 97120 44211,"Plot 88, GIDC Phase-2",35.0,QUEUED
CONS-TX-107-006,TX-107,GIDC Industrial Phase-2,Line-B Feeder,Smt. Hansaben Patel,Residential,+91 98981 22340,"House #12, GIDC Colony",0.65,QUEUED
CONS-TX-107-007,TX-107,GIDC Industrial Phase-2,Line-B Feeder,Anand Dairy Collection Center #3,Commercial,+91 94270 99012,Feeder Junction B,18.0,QUEUED
CONS-TX-107-008,TX-107,GIDC Industrial Phase-2,Line-B Feeder,GIDC Fire Station & Control Room,Public Safety,+91 98250 11100,Central GIDC Complex,12.0,QUEUED
CONS-TX-107-009,TX-107,GIDC Industrial Phase-2,Line-B Feeder,Er. Rajesh Shah (Substation Engg),Grid Personnel,+91 98251 00982,Staff Quarters B1,0.8,QUEUED
CONS-TX-107-010,TX-107,GIDC Industrial Phase-2,Line-B Feeder,Sh. Rameshchandra Joshi,Residential,+91 94263 77123,"House #44, GIDC Colony",0.7,QUEUED
CONS-TX-108-001,TX-108,Anand Substation #8,Feeder Line-8,Central Anand Clinic #8,Hospital / Critical,+91 98250 11000,Hospital Road,50.0,QUEUED
CONS-TX-108-002,TX-108,Anand Substation #8,Feeder Line-8,Residential Cluster #8 (240 Homes),Residential,+91 94260 22000,Anand Sector A,0.7,QUEUED
CONS-TX-108-003,TX-108,Anand Substation #8,Feeder Line-8,Substation Pump Station #8,Water Supply,+91 98240 33000,Water Works Road,30.0,QUEUED
